category	name	domain	source
government	Administration Wing	admwing.gov.hk	GovHK directory
government	Agriculture, Fisheries and Conservation Department	afcd.gov.hk	GovHK directory
government	Accounting and Financial Reporting Council	afrc.org.hk	GovHK directory
government	Auxiliary Medical Service	ams.gov.hk	GovHK directory
government	Architectural Services Department	archsd.gov.hk	GovHK directory
government	Applied Science and Technology Research Institute, Hong Kong	astri.org	GovHK directory
government	Council for the AIDS Trust Fund	atf.gov.hk	GovHK directory
government	Audit Commission	aud.gov.hk	GovHK directory
government	Buildings Department	bd.gov.hk	GovHK directory
government	The Office of the Government of the Hong Kong Special Administrative Region in Beijing	bjo.gov.hk	GovHK directory
government	Civil Aviation Department	cad.gov.hk	GovHK directory
government	Civil Aid Service	cas.gov.hk	GovHK directory
government	CreateSmart Initiative (CSI)	ccidahk.gov.hk	GovHK directory
government	Commerce and Economic Development Bureau	cedb.gov.hk	GovHK directory
government	Civil Engineering and Development Department	cedd.gov.hk	GovHK directory
government	Census and Statistics Department	censtatd.gov.hk	GovHK directory
government	Chief Executive	ceo.gov.hk	GovHK directory
government	Chief Executiveâ€™s Policy Unit	cepu.gov.hk	GovHK directory
government	Construction Industry Council	cic.hk	GovHK directory
government	Constitutional and Mainland Affairs Bureau	cmab.gov.hk	GovHK directory
government	Chinese Medicine Council of Hong Kong	cmchk.org.hk	GovHK directory
government	Competition Policy Advisory Group	compag.gov.hk	GovHK directory
government	Competition Commission	compcomm.hk	GovHK directory
government	Communications Authority	coms-auth.hk	GovHK directory
government	Consumer Council	consumer.org.hk	GovHK directory
government	Committee on the Promotion of Civic Education	cpce.gov.hk	GovHK directory
government	Companies Registry	cr.gov.hk	GovHK directory
government	Civil Service Bureau	csb.gov.hk	GovHK directory
government	Correctional Services Department	csd.gov.hk	GovHK directory
government	Chief Secretary for Administration's Office	cso.gov.hk	GovHK directory
government	Culture, Sports and Tourism Bureau	cstb.gov.hk	GovHK directory
government	Customs and Excise Department	customs.gov.hk	GovHK directory
government	Hong Kong Cyberport Management Company Limited	cyberport.hk	GovHK directory
government	Development Bureau	devb.gov.hk	GovHK directory
government	Department of Health	dh.gov.hk	GovHK directory
government	Digital Policy Office	digitalpolicy.gov.hk	GovHK directory
government	Telephone No, Email & Office Addresses of Government Bureaux, Departments & Related Organisations	directory.gov.hk	GovHK directory
government	Hong Kong Tourism Board	discoverhongkong.com	GovHK directory
government	District Councils	districtcouncils.gov.hk	GovHK directory
government	Department of Justice	doj.gov.hk	GovHK directory
government	Drainage Services Department	dsd.gov.hk	GovHK directory
government	Education Commission	e-c.edu.hk	GovHK directory
government	Estate Agents Authority	eaa.org.hk	GovHK directory
government	Electoral Affairs Commission	eac.hk	GovHK directory
government	Education Bureau	edb.gov.hk	GovHK directory
government	Hong Kong Education City (EdCity)	edcity.hk	GovHK directory
government	Environment and Ecology Bureau	eeb.gov.hk	GovHK directory
government	Elderly Commission	elderlycommission.gov.hk	GovHK directory
government	Electrical and Mechanical Services Department	emsd.gov.hk	GovHK directory
government	Equal Opportunities Commission	eoc.org.hk	GovHK directory
government	Environmental Protection Department	epd.gov.hk	GovHK directory
government	Employees Retraining Board	erb.org	GovHK directory
government	Food and Environmental Hygiene Department	fehd.gov.hk	GovHK directory
government	Financial Secretary's Office	fso.gov.hk	GovHK directory
government	Financial Services and the Treasury Bureau	fstb.gov.hk	GovHK directory
government	Flying Service, Government	gfs.gov.hk	GovHK directory
government	Government Logistics Department	gld.gov.hk	GovHK directory
government	Government Laboratory	govtlab.gov.hk	GovHK directory
government	Government Property Agency	gpa.gov.hk	GovHK directory
government	Government Records Service	grs.gov.hk	GovHK directory
government	Hospital Authority	ha.org.hk	GovHK directory
government	Home Affairs Department	had.gov.hk	GovHK directory
government	Housing Bureau	hb.gov.hk	GovHK directory
government	Health Bureau	healthbureau.gov.hk	GovHK directory
government	Arts Centre, Hong Kong	hkac.org.hk	GovHK directory
government	Arts Development Council, Hong Kong	hkadc.org.hk	GovHK directory
government	Council for Accreditation of Academic & Vocational Qualifications, Hong Kong	hkcaavq.edu.hk	GovHK directory
government	Examinations and Assessment Authority, Hong Kong	hkeaa.edu.hk	GovHK directory
government	Export Credit Insurance Corporation, Hong Kong	hkecic.com	GovHK directory
government	Exchanges and Clearing Ltd., Hong Kong	hkex.com.hk	GovHK directory
government	Fire Services Department, Hong Kong	hkfsd.gov.hk	GovHK directory
government	Hong Kong Housing Society	hkhs.com	GovHK directory
government	Hong Kong International Arbitration Centre	hkiac.org	GovHK directory
government	Investor Education Centre	hkiec.hk	GovHK directory
government	Hong Kong Internet Registration Corporation Limited	hkirc.hk	GovHK directory
government	Hong Kong Monetary Authority	hkma.gov.hk	GovHK directory
government	Hong Kong Mortgage Corporation Limited	hkmc.com.hk	GovHK directory
government	Hong Kong Maritime and Port Board	hkmpb.gov.hk	GovHK directory
government	Hong Kong Observatory	hko.gov.hk	GovHK directory
government	Hong Kong Productivity Council	hkpc.org	GovHK directory
government	Law Reform Commission of Hong Kong	hkreform.gov.hk	GovHK directory
government	Hong Kong Sports Institute Limited	hksi.org.hk	GovHK directory
government	Hong Kong Science and Technology Parks Corporation	hkstp.org	GovHK directory
government	Hong Kong Trade Development Council	hktdc.com	GovHK directory
government	Airport Authority, Hong Kong	hongkongairport.com	GovHK directory
government	Hongkong Post	hongkongpost.hk	GovHK directory
government	Housing Department / Housing Authority	housingauthority.gov.hk	GovHK directory
government	Home and Youth Affairs Bureau	hyab.gov.hk	GovHK directory
government	Highways Department	hyd.gov.hk	GovHK directory
government	Insurance Authority	ia.org.hk	GovHK directory
government	Independent Commission Against Corruption	icac.org.hk	GovHK directory
government	Insider Dealing Tribunal	idt.gov.hk	GovHK directory
government	Investor and Financial Education Council	ifec.org.hk	GovHK directory
government	Immigration Department	immd.gov.hk	GovHK directory
government	Board of Review (Inland Revenue Ordinance)	info.gov.hk	GovHK directory
government	Invest Hong Kong	investhk.gov.hk	GovHK directory
government	Independent Police Complaints Council	ipcc.gov.hk	GovHK directory
government	Intellectual Property Department	ipd.gov.hk	GovHK directory
government	Inland Revenue Department	ird.gov.hk	GovHK directory
government	Information Services Department	isd.gov.hk	GovHK directory
government	Innovation and Technology Commission	itc.gov.hk	GovHK directory
government	Innovation, Technology and Industry Bureau	itib.gov.hk	GovHK directory
government	Joint Secretariat for the Advisory Bodies on Civil Service and Judicial Salaries and Conditions of Service	jsscs.gov.hk	GovHK directory
government	Coroner's Court	judiciary.hk	GovHK directory
government	Kowloon-Canton Railway Corporation	kcrc.com	GovHK directory
government	Labour Department	labour.gov.hk	GovHK directory
government	Legal Aid Department	lad.gov.hk	GovHK directory
government	Land Registry	landreg.gov.hk	GovHK directory
government	Lands Department	landsd.gov.hk	GovHK directory
government	Legal Aid Services Council	lasc.hk	GovHK directory
government	Leisure and Cultural Services Department	lcsd.gov.hk	GovHK directory
government	Legislative Council	legco.gov.hk	GovHK directory
government	Hong Kong Logistics Development Council	logisticshk.gov.hk	GovHK directory
government	Labour and Welfare Bureau	lwb.gov.hk	GovHK directory
government	Marine Department	mardep.gov.hk	GovHK directory
government	Market Misconduct Tribunal	mmt.gov.hk	GovHK directory
government	Mandatory Provident Fund Schemes Authority	mpfa.org.hk	GovHK directory
government	MTR Corporation	mtr.com.hk	GovHK directory
government	Minimum Wage Commission	mwc.org.hk	GovHK directory
government	Narcotics Division	nd.gov.hk	GovHK directory
government	Insurance, Office of the Commissioner of	oci.gov.hk	GovHK directory
government	Communications Authority, Office of the	ofca.gov.hk	GovHK directory
government	Office of the Government Economist	oge.gov.hk	GovHK directory
government	Office of the Ombudsman	ombudsman.hk	GovHK directory
government	Official Receiver's Office	oro.gov.hk	GovHK directory
government	Occupational Safety and Health Council	oshc.org.hk	GovHK directory
government	Official Solicitor's Office	oso.gov.hk	GovHK directory
government	Office of the Privacy Commissioner for Personal Data	pcpd.org.hk	GovHK directory
government	Planning Department	pland.gov.hk	GovHK directory
government	Auxiliary Police Force, Hong Kong	police.gov.hk	GovHK directory
government	Protocol Division	protocol.gov.hk	GovHK directory
government	Public Service Commission	psc.gov.hk	GovHK directory
government	Quality Education Fund	qef.org.hk	GovHK directory
government	Registration and Electoral Office	reo.gov.hk	GovHK directory
government	Radio Television Hong Kong	rthk.hk	GovHK directory
government	Rating and Valuation Department	rvd.gov.hk	GovHK directory
government	Security and Guarding Services Industry Authority	sb.gov.hk	GovHK directory
government	Secretariat, Commissioner on Interception of Communications and Surveillance	sciocs.gov.hk	GovHK directory
government	Securities and Futures Appeals Tribunal	sfat.gov.hk	GovHK directory
government	Securities and Futures Commission	sfc.hk	GovHK directory
government	Council on Smoking and Health, Hong Kong	smokefree.hk	GovHK directory
government	Social Welfare Department	swd.gov.hk	GovHK directory
government	Transport Complaints Unit, Transport Advisory Committee	tcu.gov.hk	GovHK directory
government	Transport Department	td.gov.hk	GovHK directory
government	Travel Industry Authority	tia.org.hk	GovHK directory
government	Review Body on Bid Challenges	tid.gov.hk	GovHK directory
government	Transport and Logistics Bureau	tlb.gov.hk	GovHK directory
government	Tourism Commission	tourism.gov.hk	GovHK directory
government	The Treasury	try.gov.hk	GovHK directory
government	University Grants Committee	ugc.edu.hk	GovHK directory
government	University Grants Committee Secretariat	ugcs.gov.hk	GovHK directory
government	Urban Renewal Authority	ura.org.hk	GovHK directory
government	Vocational Training Council	vtc.edu.hk	GovHK directory
government	West Kowloon Cultural District	westk.hk	GovHK directory
government	Working Family and Student Financial Assistance Agency	wfsfaa.gov.hk	GovHK directory
government	Women's Commission	women.gov.hk	GovHK directory
government	Water Supplies Department	wsd.gov.hk	GovHK directory
government	Youth Development Commission	ydc.gov.hk	GovHK directory
